Time (min),Absorbance_Exp1,Absorbance_Exp2,Absorbance_Exp3
2.5,0.0,0.12,0.097
7.5,0.391,0.317,0.161
12.5,0.758,0.314,0.49
17.5,1.622,0.528,0.326
22.5,0.505,0.645,0.381
27.5,1.114,2.11,0.907
32.5,1.221,1.6,1.143
37.5,1.163,1.705,1.272
52.5,0.947,1.506,0.725
62.5,0.844,1.621,1.208
72.5,0.668,1.273,0.91
82.5,0.984,1.876,2.034
92.5,1.806,1.479,1.336
122.5,1.46,2.247,1.62
132.5,1.352,1.982,1.306
142.5,2.277,1.793,1.953
152.5,2.075,2.318,1.892
162.5,1.913,1.13,1.723
172.5,2.032,2.162,1.733
182.5,1.874,1.15,1.768
