Time (min),Average Smoothed
2.5,0.17292012987013036
7.5,0.3468102642971067
12.5,0.510868356497304
17.5,0.6650944064707223
22.5,0.8094884142173614
27.5,0.9440503797372216
32.5,1.0687803030303027
37.5,1.1836781840966049
52.5,1.288744022936128
62.5,1.383977819548872
72.5,1.4693795739348368
82.5,1.544949286094023
92.5,1.6106869560264299
122.5,1.6665925837320579
132.5,1.7126661692109064
142.5,1.7489077124629764
152.5,1.775317213488267
162.5,1.7918946722867786
172.5,1.7986400888585115
182.5,1.7955534632034649
